"rel_type","child_part_num","parent_part_num"
"M","6217b","6217"
"P","57895pr0006","57895"
"M","2961b","2961"
"P","3626cpr1186","3626c"
"T","64302pat0001","64302"
"M","4212a","4212"
"M","3005ptacb","3005ptac"
"M","bel001c","bel001"
"T","64307pat0001","64307"
"P","970c16pr0496","970c00"
"T","64309pat0001","64309"
"T","64320pat0001","64320"
"P","2454px3","2454a"
"M","44855a","44855"
"M","5313a","5313"
"T","57574pat0001","57574"
"P","3626cpr9909","3626c"
"M","6014b","6014"
"M","2791a","2791"
"M","2609b","2609"
"M","29a","29"
"T","64266pat0001","64266"
"P","18827pr0002","18827"
"M","649pb06a","649pb06"
"M","wheel1b","wheel1"
"M","3684b","3684"
"M","3933a","3933"
"P","11245pr0001","11245"
"T","44813pat0001","44813"
"M","3005pt9b","3005pt9"
"M","clikits015ac","clikits015a"
"M","x550a","x550"
"M","30554b","30554"
"M","x469bb","x469b"
"M","165c01b","165c01"
"M","820a","820"
"M","4790b","4790"
"M","3005ptwb","3005ptw"
"P","92456pr0053c01","92456c01"
"M","3005ptnb","3005ptn"
"M","clikits015c","clikits015"
"M","42411a","42411"
"P","973pb0056c01","973c00"
"P","92456pr0054c01","92456c01"
"P","92456pr0041c01","92456c01"
"P","15038pr0001","15038"
"P","92456pr0009c01","92456c01"
"M","3242e","3242"
"P","92456pr0029c01","92456c01"
"P","92456pr0001c01","92456c01"
"M","tech016a","tech016"
"M","x547c","x547"
"P","92456pr0037c01","92456c01"
"P","92456pr0033c01","92456c01"
"P","92456pr0045c01","92456c01"
"P","92456pr0038c01","92456c01"
"P","90370pr0005","90370"
"M","973pb0060a","973pb0060"
"T","64259pat0001","64259"
"M","3947a","3947"
"P","19981pr0040","19981"
"M","367a","367"
"P","3004pr0015","3004"
"P","54873pr0004","54873"
"P","60603pr0004","60603"
"M","60800a","60800"
"T","57550pat0001","57550"
"M","45535b","45535"
"M","3005pthb","3005pth"
"M","4751a","4751"
"P","973pr2706c01","973c00"
"P","19729pr0009","19729"
"P","87567pr01","87567"
"P","970c00pr0925","970c00"
"M","4617a","4617"
"P","973pr1569c01","973c00"
"P","973pr3051c01","973c00"
"P","970c00pr0905","970c00"
"P","973pr3054c01","973c00"
"M","3005ptac","3005pta"
"P","970c00pr0888","970c00"
"P","3626cpr1698","3626c"
"M","2362b","2362"
"P","973pr3098c01","973c00"
"P","973pr3053c01","973c00"
"P","970c00pr0909","970c00"
"M","4820a","4820cc01"
"P","3626cpr1699","3626c"
"P","6171pr02","6171"
"M","3005ptoslasb","3005ptoslas"
"P","6171pr03","6171"
"P","98834pr0003","98834"
"P","20483pr0001","20483"
"M","646b","646"
"M","2362a","2362"
"M","2493a","2493"
"M","973b","3814"
"M","3005pt3b","3005pt3"
"P","3626cpr1750","3626c"
"M","3005ptob","3005pto"
"P","973pr3124c01","973c00"
"M","3755b","3755"
"M","4276b","4276"
"P","3626cpr1749","3626c"
"M","2684c01a","2684c01"
"M","6197b","6197"
"M","bslot02a","bslot02"
"P","970c00pr0908","970c00"
"M","737b","737"
"P","3626cpr1724","3626c"
"M","851b","851"
"P","973pr3095c14","973c00"
"P","973pr3097c01","973c00"
"P","3626cpr1723","3626c"
"M","2538b","2538"
"T","19149pat0007","19149"
"M","4151a","4151"
"P","19861pr0001","19861"
"A","19475","74981"
"P","3068bpr0268","3068b"
"P","3068bpr0269","3068b"
"P","3068bpr0270","3068b"
"M","3005pt0b","3005pt0"
"M","19540","11953"
"P","50231pb005","50231"
"M","966a","966"
